,gene_name,count_t3d,count_t7d,count_control
7970,PACSIN2,1,4,4
7785,NUMB,2,5,4
4459,GLIS3,4,10,4
12988,TIMM8AP1,0,0,4
2498,COL25A1,3,5,4
2462,CNTN5,3,3,4
3273,DIO2-AS1,0,3,4
4639,GRIK2,6,0,4
5214,IRS1,5,0,4
2106,CDKN3,0,0,4
1239,ASTN2,6,5,4
10286,RP11-406A20.1,1,1,4
7903,OSBPL10,5,9,4
10729,RP11-617F9.2,0,0,4
9434,RP11-1000B6.9,0,0,4
1770,CALCRL,0,1,4
1562,BZW1-AS1,0,1,4
12746,TANC1,1,3,4
6706,MAMLD1,2,5,4
8790,PSD3,6,1,4
12917,TFPI,0,2,4
5141,INMT-MINDY4,0,0,4
9518,RP11-115H11.1,5,0,4
13325,TRIM13,0,0,4
1764,CADPS,0,0,4
6664,M1AP,1,1,4
9025,RAMP1,2,1,4
6808,MATN2,0,3,4
3269,DIAPH2,1,0,4
7001,MINDY4,0,0,4
4692,GSN,7,4,4
12089,SLC47A2,0,2,4
343,AC068196.1,0,0,4
13421,TSPAN7,0,1,4
5406,KCNQ5,5,4,4
4010,FAN1,0,0,4
13460,TTI1,0,3,4
7323,MYO1B,2,6,4
2224,CFI,0,0,4
7337,MYO9A,2,2,4
10739,RP11-621B23.1,2,6,4
5754,LINC-PINT,0,5,4
13508,TWIST2,4,7,4
9940,RP11-284E5.1,0,0,4
4425,GIGYF2,8,7,4
12538,STAT1,0,1,4
8558,POU6F2,8,0,4
6294,LINC02336,4,4,4
11804,SGIP1,1,2,4
9082,RBBP8,0,4,4
8812,PSMD14,0,2,4
8574,PPFIA2,0,1,4
4558,GPD2,3,13,4
8067,PCBP3,1,13,4
4545,GPATCH2,3,0,4
1471,BLK,0,1,4
13491,TUBGCP2,0,0,4
2068,CDH12,3,5,4
3306,DLGAP1,8,16,4
13398,TSEN15,0,1,4
8401,PLB1,4,5,4
5823,LINC00539,1,4,4
5274,IWS1,2,11,4
3426,DPP4-DT,0,0,4
12801,TBL1XR1,0,5,4
8854,PTK2B,1,4,4
11605,SCGB2B2,0,0,4
8046,PAX5,2,7,4
6091,LINC01645,0,0,4
1854,CATIP,0,0,4
880,ANAPC5,0,0,4
12378,SPC25,1,6,4
12868,TENM2,2,5,4
1779,CAMK2D,1,13,4
4312,GALNT14,3,0,3
12840,TCP11L1,0,1,3
3897,FAM124B,1,0,3
10556,RP11-51I5.2,0,1,3
8021,PARK7P2,0,0,3
2882,CTD-2258A20.6,0,0,3
1823,CARMIL1,1,5,3
8750,PRPF40B,1,5,3
526,ACE2,0,0,3
4130,FHL2,2,8,3
7828,OBSL1,1,3,3
13813,WBP1,0,0,3
13664,USP2,2,0,3
3849,EXT1,1,3,3
11616,SCN1A-AS1,2,2,3
4117,FGF2,0,2,3
5917,LINC01091,3,1,3
3735,EPHA10,0,6,3
5484,KIF18A,1,0,3
4585,GPR179,0,1,3
73,ABI2,0,2,3
498,AC142391.3,0,0,3
10565,RP11-521H5.1,0,0,3
2851,CTD-2132N18.3,0,2,3
10791,RP11-649A16.1,1,1,3
